License;Round;Bidder;Tie;Bid (GBP);Bid (USD)
B;24;VODAFONE;FALSE;541400000;874361000
C;24;EPSILON;FALSE;177500000;286662500
D;24;NTL MOBILE;FALSE;169000000;272935000
E;24;ORANGE;FALSE;173500000;280202500
A;25;SPECTRUMCO;FALSE;309900000;500488500
B;25;VODAFONE;FALSE;541400000;874361000
C;25;EPSILON;FALSE;177500000;286662500
D;25;TELEFONICA;FALSE;178200000;287793000
E;25;ORANGE;FALSE;173500000;280202500
A;26;NTL MOBILE;FALSE;325400000;525521000
B;26;VODAFONE;FALSE;541400000;874361000
C;26;3GUK;FALSE;191000000;308465000
D;26;TELEFONICA;FALSE;178200000;287793000
E;26;TIW;FALSE;186400000;301036000
A;27;SPECTRUMCO;FALSE;341700000;551845500
B;27;VODAFONE;FALSE;541400000;874361000
C;27;3GUK;FALSE;191000000;308465000
D;27;EPSILON;FALSE;187400000;302651000
E;27;ORANGE;FALSE;201900000;326068500
A;28;NTL MOBILE;FALSE;358800000;579462000
B;28;VODAFONE;FALSE;541400000;874361000
C;28;3GUK;FALSE;191000000;308465000
D;28;TELEFONICA;FALSE;197000000;318155000
E;28;ORANGE;FALSE;201900000;326068500
B;29;VODAFONE;FALSE;541400000;874361000
C;29;EPSILON;FALSE;200800000;324292000
D;29;TELEFONICA;FALSE;197000000;318155000
E;29;ORANGE;FALSE;201900000;326068500
A;29;SPECTRUMCO;TRUE;376800000;608532000
A;29;TIW;TRUE;376800000;608532000
A;30;SPECTRUMCO;FALSE;395700000;639055500
B;30;VODAFONE;FALSE;541400000;874361000
C;30;EPSILON;FALSE;200800000;324292000
E;30;ORANGE;FALSE;201900000;326068500
D;30;3GUK;TRUE;206900000;334143500
D;30;BT3G;TRUE;206900000;334143500
D;30;CRESCENT;TRUE;206900000;334143500
D;30;NTL MOBILE;TRUE;206900000;334143500
D;30;ONE2ONE;TRUE;206900000;334143500
D;30;ONE.TEL;TRUE;206900000;334143500
D;30;WORLDCOM;TRUE;206900000;334143500
A;31;3GUK;FALSE;421000000;679915000
B;31;VODAFONE;FALSE;541400000;874361000
C;31;TELEFONICA;FALSE;211000000;340765000
D;31;ONE.TEL;FALSE;206900000;334143500
E;31;NTL MOBILE;TRUE;212000000;342380000
E;31;TIW;TRUE;212000000;342380000
A;32;SPECTRUMCO;FALSE;442100000;713991500
B;32;VODAFONE;FALSE;541400000;874361000
C;32;TIW;FALSE;228300000;368704500
E;32;ORANGE;FALSE;222600000;359499000
D;32;BT3G;TRUE;217300000;350939500
D;32;CRESCENT;TRUE;217300000;350939500
D;32;ONE2ONE;TRUE;217300000;350939500
D;32;WORLDCOM;TRUE;217300000;350939500
A;33;SPECTRUMCO;FALSE;442100000;713991500
B;33;VODAFONE;FALSE;541400000;874361000
C;33;TIW;FALSE;228300000;368704500
D;33;TELEFONICA;FALSE;229300000;370319500
E;33;NTL MOBILE;FALSE;233800000;377587000
A;34;SPECTRUMCO;FALSE;442100000;713991500
B;34;VODAFONE;FALSE;541400000;874361000
D;34;TELEFONICA;FALSE;229300000;370319500
E;34;ORANGE;FALSE;246200000;397613000
C;34;3GUK;TRUE;240000000;387600000
C;34;EPSILON;TRUE;240000000;387600000
A;35;SPECTRUMCO;FALSE;442100000;713991500
B;35;VODAFONE;FALSE;541400000;874361000
C;35;EPSILON;FALSE;252000000;406980000
E;35;ORANGE;FALSE;246200000;397613000
D;35;BT3G;TRUE;240800000;388892000
D;35;CRESCENT;TRUE;240800000;388892000
D;35;NTL MOBILE;TRUE;240800000;388892000
D;35;ONE2ONE;TRUE;240800000;388892000
D;35;ONE.TEL;TRUE;240800000;388892000
D;35;TIW;TRUE;240800000;388892000
D;35;WORLDCOM;TRUE;240800000;388892000
A;36;SPECTRUMCO;FALSE;442100000;713991500
B;36;VODAFONE;FALSE;541400000;874361000
C;36;EPSILON;FALSE;252000000;406980000
D;36;TELEFONICA;FALSE;254100000;410371500
E;36;TIW;FALSE;258600000;417639000
A;37;NTL MOBILE;FALSE;464300000;749844500
B;37;ORANGE;FALSE;569100000;919096500
D;37;TELEFONICA;FALSE;254100000;410371500
E;37;TIW;FALSE;258600000;417639000
C;37;3GUK;TRUE;264600000;427329000
C;37;BT3G;TRUE;264600000;427329000
C;37;CRESCENT;TRUE;264600000;427329000
C;37;ONE2ONE;TRUE;264600000;427329000
C;37;ONE.TEL;TRUE;264600000;427329000
C;37;WORLDCOM;TRUE;264600000;427329000
A;38;SPECTRUMCO;FALSE;487600000;787474000
B;38;VODAFONE;FALSE;597600000;965124000
C;38;ONE2ONE;FALSE;264600000;427329000
E;38;EPSILON;FALSE;271600000;438634000
D;38;3GUK;TRUE;266900000;431043500
D;38;BT3G;TRUE;266900000;431043500
D;38;CRESCENT;TRUE;266900000;431043500
D;38;ONE.TEL;TRUE;266900000;431043500
D;38;WORLDCOM;TRUE;266900000;431043500
A;39;SPECTRUMCO;FALSE;487600000;787474000
B;39;ORANGE;FALSE;636900000;1028593500
C;39;TIW;FALSE;280300000;452684500
E;39;EPSILON;FALSE;271600000;438634000
D;39;NTL MOBILE;TRUE;280300000;452684500
D;39;TELEFONICA;TRUE;280300000;452684500
A;40;NTL MOBILE;FALSE;512000000;826880000
B;40;VODAFONE;FALSE;668800000;1080112000
C;40;TIW;FALSE;280300000;452684500
D;40;TELEFONICA;FALSE;280300000;452684500
E;40;3GUK;TRUE;285200000;460598000
E;40;BT3G;TRUE;285200000;460598000
E;40;CRESCENT;TRUE;285200000;460598000
E;40;ONE2ONE;TRUE;285200000;460598000
E;40;ONE.TEL;TRUE;285200000;460598000
E;40;WORLDCOM;TRUE;285200000;460598000
A;41;SPECTRUMCO;FALSE;537600000;868224000
B;41;ORANGE;FALSE;728300000;1176204500
D;41;WORLDCOM;FALSE;300000000;484500000
E;41;3GUK;FALSE;310000000;500650000
C;41;CRESCENT;TRUE;294400000;475456000
C;41;ONE.TEL;TRUE;294400000;475456000
A;42;SPECTRUMCO;FALSE;537600000;868224000
B;42;VODAFONE;FALSE;764800000;1235152000
C;42;TIW;FALSE;310000000;500650000
E;42;3GUK;FALSE;310000000;500650000
D;42;NTL MOBILE;TRUE;315000000;508725000
D;42;TELEFONICA;TRUE;315000000;508725000
A;43;SPECTRUMCO;FALSE;537600000;868224000
B;43;VODAFONE;FALSE;764800000;1235152000
C;43;EPSILON;FALSE;325800000;526167000
D;43;TELEFONICA;FALSE;330800000;534242000
E;43;ORANGE;FALSE;334000000;539410000
A;44;NTL MOBILE;FALSE;592200000;956403000
B;44;VODAFONE;FALSE;764800000;1235152000
C;44;TIW;FALSE;347400000;561051000
D;44;TELEFONICA;FALSE;330800000;534242000
E;44;ORANGE;FALSE;334000000;539410000
A;45;SPECTRUMCO;FALSE;621900000;1004368500
B;45;VODAFONE;FALSE;764800000;1235152000
C;45;TIW;FALSE;347400000;561051000
D;45;WORLDCOM;FALSE;360000000;581400000
E;45;ORANGE;FALSE;334000000;539410000
A;46;SPECTRUMCO;FALSE;621900000;1004368500
B;46;VODAFONE;FALSE;764800000;1235152000
C;46;NTL MOBILE;FALSE;378000000;610470000
D;46;WORLDCOM;FALSE;360000000;581400000
E;46;TELEFONICA;FALSE;364800000;589152000
A;47;SPECTRUMCO;FALSE;621900000;1004368500
B;47;VODAFONE;FALSE;764800000;1235152000
C;47;NTL MOBILE;FALSE;378000000;610470000
D;47;TIW;FALSE;383100000;618706500
E;47;ORANGE;FALSE;394200000;636633000
A;48;SPECTRUMCO;FALSE;621900000;1004368500
B;48;VODAFONE;FALSE;764800000;1235152000
C;48;TELEFONICA;FALSE;402300000;649714500
D;48;EPSILON;FALSE;402400000;649876000
E;48;ORANGE;FALSE;394200000;636633000
A;49;NTL MOBILE;FALSE;653000000;1054595000
B;49;VODAFONE;FALSE;764800000;1235152000
C;49;TELEFONICA;FALSE;402300000;649714500
D;49;EPSILON;FALSE;402400000;649876000
E;49;3GUK;TRUE;414000000;668610000
E;49;BT3G;TRUE;414000000;668610000
E;49;CRESCENT;TRUE;414000000;668610000
E;49;ONE2ONE;TRUE;414000000;668610000
E;49;ONE.TEL;TRUE;414000000;668610000
E;49;TIW;TRUE;414000000;668610000
E;49;WORLDCOM;TRUE;414000000;668610000
A;50;SPECTRUMCO;FALSE;685700000;1107405500
B;50;VODAFONE;FALSE;764800000;1235152000
C;50;WORLDCOM;FALSE;425000000;686375000
D;50;EPSILON;FALSE;402400000;649876000
E;50;ORANGE;FALSE;434700000;702040500
A;51;NTL MOBILE;FALSE;720000000;1162800000
B;51;VODAFONE;FALSE;764800000;1235152000
C;51;WORLDCOM;FALSE;425000000;686375000
D;51;TELEFONICA;FALSE;446300000;720774500
E;51;3GUK;FALSE;461000000;744515000
A;52;SPECTRUMCO;FALSE;756000000;1220940000
B;52;ORANGE;FALSE;805500000;1300882500
C;52;EPSILON;FALSE;446800000;721582000
D;52;TELEFONICA;FALSE;446300000;720774500
E;52;TIW;FALSE;492200000;794903000
A;53;SPECTRUMCO;FALSE;756000000;1220940000
B;53;VODAFONE;FALSE;845800000;1365967000
C;53;NTL MOBILE;FALSE;492200000;794903000
D;53;WORLDCOM;FALSE;488200000;788443000
E;53;TIW;FALSE;492200000;794903000
A;54;SPECTRUMCO;FALSE;756000000;1220940000
B;54;VODAFONE;FALSE;845800000;1365967000
C;54;EPSILON;FALSE;517000000;834955000
D;54;TELEFONICA;FALSE;516900000;834793500
E;54;ORANGE;FALSE;536500000;866447500
A;55;NTL MOBILE;FALSE;794100000;1282471500
B;55;VODAFONE;FALSE;845800000;1365967000
C;55;EPSILON;FALSE;517000000;834955000
D;55;WORLDCOM;FALSE;553700000;894225500
E;55;ORANGE;FALSE;536500000;866447500
A;56;SPECTRUMCO;FALSE;833900000;1346748500
B;56;VODAFONE;FALSE;845800000;1365967000
C;56;TELEFONICA;FALSE;563400000;909891000
D;56;WORLDCOM;FALSE;553700000;894225500
E;56;ORANGE;FALSE;536500000;866447500
A;57;NTL MOBILE;FALSE;875600000;1414094000
B;57;VODAFONE;FALSE;845800000;1365967000
C;57;TELEFONICA;FALSE;563400000;909891000
D;57;WORLDCOM;FALSE;553700000;894225500
E;57;EPSILON;FALSE;563900000;910698500
A;58;NTL MOBILE;FALSE;875600000;1414094000
B;58;BT3G;FALSE;888100000;1434281500
C;58;TELEFONICA;FALSE;563400000;909891000
D;58;TIW;FALSE;591600000;955434000
E;58;ORANGE;FALSE;606900000;980143500
A;59;NTL MOBILE;FALSE;875600000;1414094000
B;59;VODAFONE;FALSE;932600000;1506149000
C;59;WORLDCOM;FALSE;592100000;956241500
D;59;TIW;FALSE;591600000;955434000
E;59;ORANGE;FALSE;606900000;980143500
A;60;SPECTRUMCO;FALSE;919400000;1484831000
B;60;VODAFONE;FALSE;932600000;1506149000
C;60;TELEFONICA;FALSE;637300000;1029239500
E;60;ORANGE;FALSE;606900000;980143500
D;60;3GUK;TRUE;621200000;1003238000
D;60;BT3G;TRUE;621200000;1003238000
D;60;CRESCENT;TRUE;621200000;1003238000
D;60;ONE2ONE;TRUE;621200000;1003238000
D;60;ONE.TEL;TRUE;621200000;1003238000
A;61;NTL MOBILE;FALSE;965500000;1559282500
B;61;VODAFONE;FALSE;932600000;1506149000
C;61;TELEFONICA;FALSE;637300000;1029239500
D;61;3GUK;FALSE;655000000;1057825000
E;61;WORLDCOM;FALSE;652400000;1053626000
A;62;NTL MOBILE;FALSE;965500000;1559282500
B;62;BT3G;FALSE;979300000;1581569500
C;62;TIW;FALSE;685100000;1106436500
D;62;EPSILON;FALSE;687800000;1110797000
E;62;ORANGE;FALSE;698800000;1128562000
A;63;SPECTRUMCO;FALSE;1013800000;1637287000
B;63;VODAFONE;FALSE;1028300000;1660704500
C;63;TELEFONICA;FALSE;722200000;1166353000
D;63;EPSILON;FALSE;687800000;1110797000
E;63;ORANGE;FALSE;698800000;1128562000
A;64;NTL MOBILE;FALSE;1070000000;1728050000
B;64;VODAFONE;FALSE;1028300000;1660704500
C;64;TELEFONICA;FALSE;722200000;1166353000
E;64;TIW;FALSE;758400000;1224816000
D;64;3GUK;TRUE;722200000;1166353000
D;64;BT3G;TRUE;722200000;1166353000
D;64;CRESCENT;TRUE;722200000;1166353000
D;64;ONE2ONE;TRUE;722200000;1166353000
D;64;ONE.TEL;TRUE;722200000;1166353000
D;64;WORLDCOM;TRUE;722200000;1166353000
A;65;NTL MOBILE;FALSE;1070000000;1728050000
B;65;VODAFONE;FALSE;1028300000;1660704500
C;65;WORLDCOM;FALSE;785100000;1267936500
E;65;ORANGE;FALSE;805200000;1300398000
D;65;3GUK;TRUE;758400000;1224816000
D;65;BT3G;TRUE;758400000;1224816000
D;65;CRESCENT;TRUE;758400000;1224816000
D;65;SPECTRUMCO;TRUE;758400000;1224816000
A;66;3GUK;FALSE;1150100000;1857411500
B;66;BT3G;FALSE;1079800000;1743877000
C;66;WORLDCOM;FALSE;785100000;1267936500
E;66;ORANGE;FALSE;805200000;1300398000
D;66;EPSILON;TRUE;824400000;1331406000
D;66;TELEFONICA;TRUE;824400000;1331406000
A;67;NTL MOBILE;FALSE;1207700000;1950435500
B;67;VODAFONE;FALSE;1133800000;1831087000
D;67;TELEFONICA;FALSE;824400000;1331406000
E;67;TIW;FALSE;909000000;1468035000
C;67;CRESCENT;TRUE;824400000;1331406000
C;67;ONE2ONE;TRUE;824400000;1331406000
C;67;ONE.TEL;TRUE;824400000;1331406000
C;67;SPECTRUMCO;TRUE;824400000;1331406000
A;68;NTL MOBILE;FALSE;1207700000;1950435500
B;68;ORANGE;FALSE;1250000000;2018750000
C;68;WORLDCOM;FALSE;873700000;1411025500
D;68;BT3G;FALSE;865700000;1398105500
E;68;TIW;FALSE;909000000;1468035000
A;69;NTL MOBILE;FALSE;1207700000;1950435500
B;69;VODAFONE;FALSE;1312500000;2119687500
C;69;EPSILON;FALSE;917400000;1481601000
D;69;TELEFONICA;FALSE;917400000;1481601000
E;69;TIW;FALSE;909000000;1468035000
A;70;NTL MOBILE;FALSE;1207700000;1950435500
B;70;VODAFONE;FALSE;1312500000;2119687500
C;70;WORLDCOM;FALSE;963500000;1556052500
D;70;TELEFONICA;FALSE;917400000;1481601000
E;70;ORANGE;FALSE;1002200000;1618553000
A;71;ONE.TEL;FALSE;1313000000;2120495000
B;71;VODAFONE;FALSE;1312500000;2119687500
C;71;WORLDCOM;FALSE;963500000;1556052500
D;71;3GUK;FALSE;965100000;1558636500
E;71;ORANGE;FALSE;1002200000;1618553000
A;72;ONE.TEL;FALSE;1313000000;2120495000
B;72;VODAFONE;FALSE;1312500000;2119687500
D;72;3GUK;FALSE;965100000;1558636500
E;72;ORANGE;FALSE;1002200000;1618553000
C;72;TELEFONICA;TRUE;1013400000;1636641000
C;72;TIW;TRUE;1013400000;1636641000
A;73;ONE.TEL;FALSE;1313000000;2120495000
B;73;VODAFONE;FALSE;1312500000;2119687500
C;73;TIW;FALSE;1013400000;1636641000
D;73;TELEFONICA;FALSE;1052400000;1699626000
E;73;ORANGE;FALSE;1002200000;1618553000
A;74;ONE.TEL;FALSE;1313000000;2120495000
B;74;VODAFONE;FALSE;1312500000;2119687500
C;74;NTL MOBILE;FALSE;1064100000;1718521500
D;74;TELEFONICA;FALSE;1052400000;1699626000
E;74;3GUK;TRUE;1052400000;1699626000
E;74;BT3G;TRUE;1052400000;1699626000
E;74;CRESCENT;TRUE;1052400000;1699626000
E;74;EPSILON;TRUE;1052400000;1699626000
E;74;ONE2ONE;TRUE;1052400000;1699626000
E;74;SPECTRUMCO;TRUE;1052400000;1699626000
E;74;WORLDCOM;TRUE;1052400000;1699626000
A;75;WORLDCOM;FALSE;1378900000;2226923500
B;75;SPECTRUMCO;FALSE;1378200000;2225793000
C;75;NTL MOBILE;FALSE;1064100000;1718521500
E;75;ORANGE;FALSE;1125000000;1816875000
D;75;3GUK;TRUE;1105100000;1784736500
D;75;CRESCENT;TRUE;1105100000;1784736500
D;75;TIW;TRUE;1105100000;1784736500
A;76;WORLDCOM;FALSE;1378900000;2226923500
B;76;VODAFONE;FALSE;1447200000;2337228000
C;76;TELEFONICA;FALSE;1160400000;1874046000
D;76;CRESCENT;FALSE;1105100000;1784736500
E;76;ONE2ONE;FALSE;1212100000;1957541500
A;77;NTL MOBILE;FALSE;1448100000;2338681500
B;77;ORANGE;FALSE;1583400000;2557191000
C;77;TELEFONICA;FALSE;1160400000;1874046000
D;77;TIW;FALSE;1218500000;1967877500
E;77;ONE2ONE;FALSE;1212100000;1957541500
A;78;WORLDCOM;FALSE;1525600000;2463844000
B;78;VODAFONE;FALSE;1662600000;2685099000
D;78;TIW;FALSE;1218500000;1967877500
E;78;ONE2ONE;FALSE;1212100000;1957541500
C;78;3GUK;TRUE;1218500000;1967877500
C;78;BT3G;TRUE;1218500000;1967877500
C;78;CRESCENT;TRUE;1218500000;1967877500
C;78;EPSILON;TRUE;1218500000;1967877500
C;78;ONE.TEL;TRUE;1218500000;1967877500
C;78;SPECTRUMCO;TRUE;1218500000;1967877500
A;79;WORLDCOM;FALSE;1525600000;2463844000
B;79;VODAFONE;FALSE;1662600000;2685099000
C;79;BT3G;FALSE;1218500000;1967877500
D;79;NTL MOBILE;FALSE;1343500000;2169752500
E;79;ORANGE;FALSE;1322400000;2135676000
A;80;WORLDCOM;FALSE;1525600000;2463844000
B;80;VODAFONE;FALSE;1662600000;2685099000
D;80;NTL MOBILE;FALSE;1343500000;2169752500
E;80;TELEFONICA;FALSE;1388600000;2242589000
C;80;3GUK;TRUE;1279500000;2066392500
C;80;CRESCENT;TRUE;1279500000;2066392500
C;80;EPSILON;TRUE;1279500000;2066392500
C;80;ONE2ONE;TRUE;1279500000;2066392500
C;80;ONE.TEL;TRUE;1279500000;2066392500
C;80;SPECTRUMCO;TRUE;1279500000;2066392500
C;80;TIW;TRUE;1279500000;2066392500
A;81;WORLDCOM;FALSE;1525600000;2463844000
B;81;VODAFONE;FALSE;1662600000;2685099000
C;81;3GUK;FALSE;1345100000;2172336500
D;81;NTL MOBILE;FALSE;1343500000;2169752500
E;81;ORANGE;FALSE;1475600000;2383094000
A;82;WORLDCOM;FALSE;1525600000;2463844000
B;82;VODAFONE;FALSE;1662600000;2685099000
C;82;TELEFONICA;FALSE;1412400000;2281026000
D;82;TIW;FALSE;1412400000;2281026000
E;82;ORANGE;FALSE;1475600000;2383094000
A;83;SPECTRUMCO;FALSE;1601900000;2587068500
B;83;BT3G;FALSE;1745800000;2819467000
E;83;ORANGE;FALSE;1475600000;2383094000
C;83;CRESCENT;TRUE;1483100000;2395206500
C;83;NTL MOBILE;TRUE;1483100000;2395206500
C;83;ONE2ONE;TRUE;1483100000;2395206500
C;83;ONE.TEL;TRUE;1483100000;2395206500
D;83;3GUK;TRUE;1483100000;2395206500
D;83;EPSILON;TRUE;1483100000;2395206500
A;84;TELEFONICA;FALSE;1692500000;2733387500
B;84;VODAFONE;FALSE;1833100000;2960456500
C;84;WORLDCOM;FALSE;1557400000;2515201000
D;84;EPSILON;FALSE;1483100000;2395206500
E;84;3GUK;TRUE;1549400000;2502281000
E;84;CRESCENT;TRUE;1549400000;2502281000
E;84;NTL MOBILE;TRUE;1549400000;2502281000
E;84;ONE.TEL;TRUE;1549400000;2502281000
E;84;TIW;TRUE;1549400000;2502281000
A;85;TELEFONICA;FALSE;1692500000;2733387500
B;85;VODAFONE;FALSE;1833100000;2960456500
C;85;WORLDCOM;FALSE;1557400000;2515201000
E;85;ORANGE;FALSE;1650000000;2664750000
D;85;BT3G;TRUE;1557300000;2515039500
D;85;CRESCENT;TRUE;1557300000;2515039500
D;85;NTL MOBILE;TRUE;1557300000;2515039500
D;85;ONE2ONE;TRUE;1557300000;2515039500
D;85;ONE.TEL;TRUE;1557300000;2515039500
D;85;SPECTRUMCO;TRUE;1557300000;2515039500
D;85;TIW;TRUE;1557300000;2515039500
A;86;ONE.TEL;FALSE;1788000000;2887620000
B;86;BT3G;FALSE;1924800000;3108552000
C;86;3GUK;FALSE;1650100000;2664911500
E;86;ORANGE;FALSE;1650000000;2664750000
D;86;CRESCENT;TRUE;1635200000;2640848000
D;86;ONE2ONE;TRUE;1635200000;2640848000
D;86;SPECTRUMCO;TRUE;1635200000;2640848000
A;87;TELEFONICA;FALSE;1881100000;3037976500
B;87;VODAFONE;FALSE;2021100000;3264076500
C;87;3GUK;FALSE;1650100000;2664911500
E;87;ORANGE;FALSE;1650000000;2664750000
D;87;CRESCENT;TRUE;1717000000;2772955000
D;87;EPSILON;TRUE;1717000000;2772955000
D;87;NTL MOBILE;TRUE;1717000000;2772955000
D;87;ONE2ONE;TRUE;1717000000;2772955000
D;87;TIW;TRUE;1717000000;2772955000
D;87;WORLDCOM;TRUE;1717000000;2772955000
A;88;TELEFONICA;FALSE;1881100000;3037976500
B;88;VODAFONE;FALSE;2021100000;3264076500
C;88;NTL MOBILE;FALSE;1732700000;2798310500
D;88;CRESCENT;FALSE;1717000000;2772955000
